restart,score,plaintext
197,-208.10423093408406,THERPXTNSJQMVXANXEZQNFWREGGJTET
230,-208.10423093408406,SQVYBESAZMPTHERAEVDPAJIYVOOMSVS
238,-208.10423093408406,FLTHERFODZQAIRMORTXQOUCHTYYZFTF
288,-208.10423093408406,SXWDJESKVLFTHERKEWUFKCGDWAALSWS
294,-208.10423093408406,OAHZDTOIQYRXJTBITHERIMUZHLLYOHO
295,-208.10423093408406,THERPGTUKFYXBGZUGEQYUWVRENNFTET
319,-208.10423093408406,QIYLMFQDJTHERFZDFYKHDOSLYVVTQYQ
334,-208.10423093408406,CKDPSHCRJGNZTHERHDUNRFQPDIIGCDC
336,-208.10423093408406,WONPBAWQLTHERAMQANJHQSXPNCCTWNW
388,-208.10423093408406,UYLPJRUVXNTHEROVRLZTVDQPLFFNULU
19,-208.1042309340841,HSFJKTHERCQBYTVETFLQEAPJFNNCHFH
67,-208.1042309340841,EFCLTHERBJMSQHYRHCUMROILCGGJECE
297,-208.1042309340841,RMWTHERAXNCSDEQAEWJCAPLTWUUNRWR
61,-208.2702992035826,OEYZMAOGKQIUJAVGAYCIGHTZYSSQOYO
74,-208.2702992035826,EIGHTKEUPLXQAKYUKGZXUDJHGSSLEGE
173,-208.2702992035826,NVDAJYNQPIGHTYUQYDMGQCRADBBINDN
178,-208.2702992035826,YZGSFIYAEVTPNIDAIGHTALCSGUUVYGY
190,-208.2702992035826,USHGYCUEFLPOJCAECHKPEZIGHTTLUHU
199,-208.2702992035826,NVIGHTNJMAQULTFJTIZQJCDGIYYANIN
260,-208.2702992035826,OUSKAPOJIGHTDPBJPSLHJXCKSFFGOSO
391,-208.2702992035826,GVQFCIGHTBZJEIPHIQDZHYMFQKKBGQG
401,-208.2702992035826,TLNIGHTYDCMZBHAYHNXMYRFINUUCTNT
430,-208.2702992035826,NDCYSGNTJBZXIGHTGCUZTMKYCEEBNCN
468,-208.2702992035826,ILSVYMIGHTDAOMCGMSQDGJPVSRRTISI
470,-208.2702992035826,MFTZLHMGRSOAKHIGHTBOGYPZTQQSMTM
499,-208.2702992035826,TOLIGHTKAZCYQHJKHLUCKPSILEEZTLT
0,-215.15842251088048,POHLVSPFUJEWKSTFSHXEFQGLHAAJPHP
1,-215.15842251088048,NHOZSJNAPUYQFJIAJOGYAKWZODDUNON
4,-215.15842251088048,LVINQGLRKEWUPGDRGIBWRAFNIZZELIL
6,-215.15842251088048,JMPRYTJAZGOFKTCATPQOADERPXXGJPJ
7,-215.15842251088048,UPRLWVUXZFICAVDXVRGIXQYLRKKFURU
12,-215.15842251088048,FSTICMFXWEBRYMGXMTVBXOJITAAEFTF
13,-215.15842251088048,MGQVKBMZJRDXYBAZBQWDZETVQOORMQM
20,-215.15842251088048,GZMSJBGNVXKLCBFNBMHKNYRSMAAXGMG
21,-215.15842251088048,JCNDXWJMTZOYGWKMWNSOMERDNFFZJNJ
23,-215.15842251088048,MPRXUAMEIGWLNAQEARSWEKCXRBBGMRM
25,-215.15842251088048,FXEQVIFNWBMZYIANIEGMNPJQEKKBFEF
