restart,score,plaintext
225,-215.15842251088048,CSASYXZCQQMQJRCFQYHYPOCROSHLIUZ
226,-208.2702992035826,HALAMBPHFFQFDTHOFMSMIGHTGASKUXP
227,-208.05796925088183,WOAOCYKWEEMEPTWFECNCLIWTIONBUSK
228,-215.15842251088048,GSJSXAYGZZBZNUGMZXWXKCGUCSWLQFY
229,-183.3123329305225,OIRINJCOGGYGUXOBGNTNPWOXWITHMVC
230,-183.31233293052253,WAOAHSEWTTQTCFWITHVHMUWFUAVDYKE
231,-215.15842251088048,VAMAFZWVPPHPXQVSPFIFOKVQKAINCGW
232,-215.15842251088048,AJZJRYGAPPKPMQAWPRLRVBAQBJLSDOG
233,-208.2702992035826,IPQPTDOIHHRHXSIGHTYTCMISMPYKVUO
234,-215.15842251088048,MTZTYSBMCCLCGKMICYUYEOMKOTUWAVB
235,-119.27338907561068,IUQUELKIHHYHCWITHEREFDIWDUROBGK
236,-208.05796925088183,TMYMNSXTOOVOKGTIONQNZUTGUMQJPFX
237,-176.25814135372607,EDBDIGJENNANXRESNIWITHERHDWUKYJ
238,-215.15842251088048,HNXNBGMHQQVQLIHPQBABCWHIWNAOSKM
239,-215.15842251088048,YKEKVNQYCCMCBXYRCVTVFPYXPKTDILQ
240,-183.3123329305225,VTPTKULVBBABFWVCBKHKEIVWITHONML
241,-215.15842251088048,ACZCTVGAYYHYUSAWYTPTJNASNCPKXMG
242,-176.25814135372607,VTMTFKOVPPCPQWVXPFHFUIVWITHERAO
243,-181.2855469254672,HEREQLVHBBKBXTHMBQSQIGHTGESFJZV
244,-215.15842251088048,OUFUKYNOVVIVWMOPVKHKZXOMXUHSBRN
245,-215.15842251088048,WBGBHACWKKNKMXWUKHTHYPWXPBTLODC
246,-215.15842251088048,YXIXZUGYRRBRWMYDRZEZNTYMTXESAFG
247,-215.15842251088048,IMEMQPSIXXAXUVILXQGQWOIVOMGBTYS
248,-183.31233293052253,KRFRPGXKIIWITHKNIPJPMYKHYRJZCBX
249,-215.15842251088048,FEVETAJFMMLMOYFKMTBTZCFYCEBWRSJ
250,-183.31233293052253,TDSDYQPTGGFGWITHGYVYCOTIODVRUKP
251,-215.15842251088048,PVMVQURPLLSLJIPZLQHQXAPIAVHNKYR
252,-156.3275806524071,HEREWITHOOKOUXHPOWZWVMHXMEZYSBT
253,-215.15842251088048,BGRGFKSBQQHQCUBWQFNFADBUDGNMPVS
254,-215.15842251088048,PYSYXQCPDDJDAWPODXVXGRPWRYVFZKC
255,-208.05796925088183,GUCUOKQGIIYIZFGTIONOPSGFSUNVEAQ
256,-215.15842251088048,LACAEQBLIINIYGLVIETEKXLGXATSJFB
257,-215.15842251088048,MBGBKUEMXXOXVSMQXKWKPJMSJBWIARE
258,-188.1736702327651,ZMYMEKFZHHXHICZJHERESAZCAMRPLBF
259,-208.2702992035826,MYFYGAZMSSUSCQMJSGIGHTMQTYIODVZ
260,-188.1736702327651,YGMGELIYHHFHVOYNHEREXBYOBGRKSAI
261,-215.15842251088048,GEPEZXNGIIAIMLGWIZSZDYGLYESKQCN
262,-183.3123329305225,TZNZJDVTFFOFQHTRFJEJWITHIZEKCBV
263,-183.31233293052253,ICYCSFQIHHRHPWITHSDSUBIWBCDLVXQ
264,-151.11947865596866,GMPMEUZGHHOHAXGTHERENDGXDMRBQYZ
265,-183.3123329305225,GOAOIPUGNNZNVBGLNIWITHGBHOWRMKU
266,-208.05796925088183,AODOFKUACCMCZTARCFNFLIATIONBXJU
267,-215.15842251088048,JMPMISKJYYVYWFJEYIRILAJFAMRXBUK
268,-215.15842251088048,ZSXSDMGZFFJFWYZCFDKDALZYLSKBVTG
269,-215.15842251088048,JPUPKCZJTTQTXHJLTKFKOGJHGPFYRSZ
270,-183.3123329305225,DVQVROHDMMJMBSDGMRYRUXDSXVYWITH
271,-215.15842251088048,VELEMTCVWWPWZNVJWMUMDKVNKEUAHYC
272,-215.15842251088048,PFUFVEQPCCDCNJPHCVZVSWPJWFZAKLQ
273,-183.31233293052253,HMQMKZSHWWUWITHDWKVKPGHTGMVAXES
274,-215.15842251088048,HNXNSZLHWWPWGOHYWSUSVQHOQNUICML
