restart,score,plaintext
235,-215.15842251088048,JDGMEBJLKFYIQBULBGCYLWRMGOOFJGJ
236,-183.3123329305225,GPXCBJGIDAWOFJRIJXSWITHCXQQAGXG
237,-215.15842251088048,QYWRVKQIUTDESKLIKWCDIZARWXXTQWQ
238,-208.10423093408406,FLTHERFODZQAIRMORTXQOUCHTYYZFTF
239,-201.0037776740854,CDASKRCILBTHERJIRAMTIONSAPPBCAC
240,-188.1736702327651,ESRWJFEGKHQALFPGFRNQGBDWROOHERE
241,-215.15842251088048,JIVWKLJFDSYQOLMFLVZYFCRWVPPSJVJ
242,-176.2581413537261,RWITHERGLXSVZEFGEIMSGUKTIBBXRIR
243,-215.15842251088048,REYMDKRZLWVTGKUZKYAVZOJMYPPWRYR
244,-215.15842251088048,CJVSRWCMIKGDEWYMWVTGMUQSVLLKCVC
245,-183.3123329305225,SNLDXKSTABIMRKZTKLWITHODLGGBSLS
246,-208.05796925088185,VTIONFVPMLQXAFCPFIRQPJGOIEELVIV
247,-215.15842251088048,GUSZQAGLKWDFNARLASHDLTXZSVVWGSG
248,-176.25814135372607,BQREULBIDZWVCLSILROWITHERKKZBRB
249,-215.15842251088048,PYFCHLPXZNMVOLUXLFJMXRDCFWWNPFP
250,-176.2581413537261,EFWITHERPNVJMHXRHWUVRLZIWBBNEWE
251,-215.15842251088048,KYDBGNKURIZXJNFUNDEZUASBDPPIKDK
252,-215.15842251088048,UHAKEJULMVYQFJWLJAXYLCDKAZZVUAU
253,-183.3123329305225,ZGWEYFZHCNTQPFSHFWITHADEWVVNZWZ
254,-215.15842251088048,OUVIZDOFKXAMSDEFDVLAFWNIVPPXOVO
255,-215.15842251088048,HUMIYZHVGBADXZEVZMCAVKSIMWWBHMH
256,-188.1736702327651,ELROUWEDMHBCVWQDWRPBDNXORIIHERE
257,-208.05796925088183,PDNOGXPBQYLJFXSBXNELBTIONHHYPNP
258,-215.15842251088048,IQGSFOIZVKWUYOEZOGDWZAXSGMMKIGI
259,-188.1736702327651,EZRQPNECKHVBDNUCNRLVCIFQRGGHERE
260,-208.2702992035826,OUSKAPOJIGHTDPBJPSLHJXCKSFFGOSO
261,-188.1736702327651,ENRGWKEPFHYJOKZPKRBYPCUGRSSHERE
262,-208.05796925088185,DTIONADJQSVWCARJAIGVJFMOIZZSDID
263,-188.1736702327651,EJRUQSEDMHLVBSGDSRALDPIURKKHERE
264,-215.15842251088048,NSBCFRNUMPLQTRDURBWLUIACBKKPNBN
265,-215.15842251088048,GIAEBFGZDVXLKFSZFAOXZNHEAYYVGAG
266,-215.15842251088048,ZTBXPAZOFLCMDAHOABSCOKWXBNNLZBZ
267,-215.15842251088048,DCBUPVDGSFTQWVKGVBYTGAXUBOOFDBD
268,-215.15842251088048,JGPZQUJMWSDFAULMUPTDMHYZPRRSJPJ
269,-215.15842251088048,SJEOHTSFVBYMQTZFTEGYFCLOEUUBSES
270,-215.15842251088048,QNTAXGQBDFSEZGKBGTMSBJYATHHFQTQ
271,-151.11947865596866,EJRZSFEIGHYUBFAIFRLYIONZRTTHERE
272,-215.15842251088048,IYPWRBIDGKUTJBLDBPCUDOVWPMMKIPI
273,-176.25814135372607,FXRENLFIAMWJSLBILRZWITHERYYMFRF
274,-215.15842251088048,CVXIZQCLWONFBQALQXYNLJDIXSSOCXC
275,-188.1736702327651,EIRYKDEOUHMXPDZODRFMOVJYRWWHERE
276,-215.15842251088048,YEVPDKYFCMUJNKXFKVGUFLAPVTTMYVY
277,-208.05796925088183,LGKDZMLSFTIONMUSMKPISHVDKYYTLKL
278,-215.15842251088048,WTEAVNWSGQOHCNLSNEJOSPUAEBBQWEW
279,-215.15842251088048,EYMUAQEDXZGVNQWDQMTGDPBUMHHZEME
280,-151.11947865596866,EXRNDUEGVHQFYUMGURAQGIONRTTHERE
281,-215.15842251088048,PDVETYPJXQOZWYFJYVSOJNGEVLLQPVP
282,-183.31233293052253,WFNUYAWITHEGXACIANZEIDMUNKKHWNW
283,-188.1736702327651,EXROJYEKFHPIZYWKYRUPKVBORSSHERE
284,-215.15842251088048,YJLZGUYPBIQWKUVPULNQPXAZLMMIYLY
285,-215.15842251088048,XLPCBVXYURJFZVOYVPNJYEICPGGRXPX
286,-195.15842251088048,APRHSKAXWDGQVKNXKRLGXOTHREEDARA
287,-215.15842251088048,CVSQOECUYZTNFEDUESXTUKAQSLLZCSC
288,-208.10423093408406,SXWDJESKVLFTHERKEWUFKCGDWAALSWS
289,-208.05796925088183,DBYXANDRJMTIONZRNYHTRQFXYCCMDYD
290,-215.15842251088048,CALSIGCPJTERXGNPGLVEPDYSLQQTCLC
291,-215.15842251088048,NHPRCFNXGSMOVFZXFPBMXWKRPQQSNPN
292,-215.15842251088048,GTXJOFGBNCHUWFZBFXAHBSLJXDDCGXG
293,-208.05796925088183,JDQUFOJWKBETIONWOQSEWPYUQLLBJQJ
294,-208.10423093408406,OAHZDTOIQYRXJTBITHERIMUZHLLYOHO
295,-208.10423093408406,THERPGTUKFYXBGZUGEQYUWVRENNFTET
296,-208.05796925088183,VWOPYIVTDRKJBISTIONKTQEPOGGRVOV
297,-208.1042309340841,RMWTHERAXNCSDEQAEWJCAPLTWUUNRWR
